country,pillar,direction,years_applicable,t5_magnitude,did_mean,blended_magnitude,ci_lower_95,ci_upper_95,confidence,blend_method,tier_v2,source,policy_name,is_task9
Belgium,Digital,positive,2024-2027,8.0,1.9,4.34,1.66,2.14,Medium,T5(40%) + DiD(60%),High,"Federal Public Service Economy, National AI Strategy 2024",National AI Strategy 2024,False
Poland,Banking,negative,2024-2025,-10.0,1.32,-6.6,1.1,1.55,High,T5(70%) + DiD(30%),High,"IMF, Poland Article IV Consultation 2023, para. 45",NBP Rate Hikes 2023-2024,False
Poland,FDI,negative,2024-2027,-12.0,4.73,-6.98,4.45,5.0,High,T5(70%) + DiD(30%),High,"UNCTAD, World Investment Report 2023, Poland chapter",EU Rule‑of‑Law Dispute Impact on FDI,False
Poland,Manufacturing,positive,2024-2027,20.0,-1.92,13.42,-2.14,-1.71,High,T5(70%) + DiD(30%),High,"Polish Ministry of Development, press release ‘Polish Industry 4.0’ launch Dec 2023",Polish Industry 4.0 Programme,False
Poland,Digital,positive,2024-2027,8.0,1.9,6.17,1.66,2.14,High,T5(70%) + DiD(30%),High,"World Bank, Poland Economic Update March 2024, p. 7",Digital Poland 2025 Strategy,False
Tajikistan,Banking,negative,2024-2027,-10.0,1.32,-6.6,1.1,1.55,High,T5(70%) + DiD(30%),High,IMF Article IV Consultation 2023 – Tajikistan Staff Report,Policy Rate Hike 2023-2024,False
Tajikistan,FDI,negative,2024-2027,-12.0,4.73,-1.96,4.45,5.0,Medium,T5(40%) + DiD(60%),High,UNCTAD World Investment Report 2023 – Tajikistan Chapter,FDI Inflow Decline 2023,False
Tajikistan,Manufacturing,positive,2024-2027,8.0,-1.92,5.02,-2.14,-1.71,High,T5(70%) + DiD(30%),High,World Bank Country Overview – Tajikistan (2024) – Investment Climate Assessment,Industrial Development Strategy 2022‑2026,False
Tajikistan,Digital,positive,2024-2027,5.0,1.9,3.14,1.66,2.14,Medium,T5(40%) + DiD(60%),High,"Ministry of Finance of Tajikistan press release, March 2024",Digital Economy Development Program 2024‑2028,False
Sweden,Banking,negative,2024-2027,-10.0,1.32,-6.6,1.1,1.55,High,T5(70%) + DiD(30%),High,IMF Article IV Consultation 2023 – Sweden,Riksbank rate hikes 2023-2024,False
Sweden,Manufacturing,positive,2024-2027,12.0,-1.92,7.82,-2.14,-1.71,High,T5(70%) + DiD(30%),High,World Bank Country Overview 2024 – Sweden,Swedish Industrial Strategy 2023,False
Sweden,Digital,positive,2024-2027,9.0,1.9,4.74,1.66,2.14,Medium,T5(40%) + DiD(60%),High,UNCTAD World Investment Report 2024 – Sweden section,National Digital Strategy 2023,False
Armenia,Banking,positive,2024-2027,9.0,-0.99,6.0,-1.16,-0.83,High,T5(70%) + DiD(30%),High,"IMF – Article IV Consultation, Armenia, 2023",Monetary Policy Rate Cut 2023,False
Armenia,FDI,negative,2024-2025,-12.0,4.73,-6.98,4.45,5.0,High,T5(70%) + DiD(30%),High,UNCTAD – World Investment Report 2023 (Armenia chapter),FDI Inflow Decline amid Regional Tensions,False
Armenia,Manufacturing,positive,2024-2027,10.0,-1.92,6.42,-2.14,-1.71,High,T5(70%) + DiD(30%),High,"World Bank – Armenia Economic Update, June 2023",Industrial Development Strategy 2022‑2027,False
Armenia,Digital,positive,2024-2025,8.0,1.9,6.17,1.66,2.14,High,T5(70%) + DiD(30%),High,"Ministry of Economy of Armenia – Digital Economy Development Strategy, 2023",Digital Economy Development Strategy 2023‑2027,False
Brunei Darussalam,FDI,negative,2024-2027,-10.0,4.73,-5.58,4.45,5.0,High,T5(70%) + DiD(30%),High,"IMF Article IV Consultation – Brunei Darussalam, 2023",FDI Incentive Review 2023,False
Brunei Darussalam,Banking,negative,2024-2025,-12.0,1.32,-8.0,1.1,1.55,High,T5(70%) + DiD(30%),High,"World Bank – Brunei Darussalam Country Overview, 2024",Monetary Tightening Cycle 2023,False
Brunei Darussalam,Digital,positive,2024-2027,9.0,1.9,4.74,1.66,2.14,Medium,T5(40%) + DiD(60%),High,"UNCTAD World Investment Report – Brunei Darussalam, 2024",National Digital Economy Blueprint 2023-2027,False
Slovak Republic,Banking,negative,2024-2027,-12.0,1.32,-8.0,1.1,1.55,High,T5(70%) + DiD(30%),High,"IMF/Article IV Consultation – Slovak Republic, 2023",ECB Rate Hikes 2023-2024,False
Slovak Republic,FDI,negative,2024-2027,-13.0,4.73,-7.68,4.45,5.0,High,T5(70%) + DiD(30%),High,UNCTAD/World Investment Report 2024 – Slovak Republic chapter,FDI Inflow Decline 2023,False
Slovak Republic,Manufacturing,positive,2024-2027,9.0,-1.92,2.45,-2.14,-1.71,Medium,T5(40%) + DiD(60%),High,"Ministry of Economy/Press Release – Industry 4.0 Programme, Dec 2023",Industry 4.0 Incentive Scheme 2023,False
Slovak Republic,Digital,positive,2024-2027,11.0,1.9,5.54,1.66,2.14,Medium,T5(40%) + DiD(60%),High,World Bank/Slovakia Country Overview 2024,National Broadband Expansion Plan 2024,False
Latvia,FDI,negative,2024-2027,-12.0,4.73,-6.98,4.45,5.0,High,T5(70%) + DiD(30%),High,"IMF/Article IV Consultation – Latvia, 2023",EU Investment Plan 2023-2024,False
Latvia,Banking,negative,2024-2025,-14.0,1.32,-9.4,1.1,1.55,High,T5(70%) + DiD(30%),High,"Bank of Latvia press releases, 2023‑2024",Latvian Central Bank Rate Hikes 2023‑2024,False
Latvia,Manufacturing,positive,2024-2026,9.0,-1.92,2.45,-2.14,-1.71,Medium,T5(40%) + DiD(60%),High,"World Bank – Latvia Country Overview, 2024",Latvia 2030 Industrial Strategy,False
Latvia,Digital,positive,2024-2027,11.0,1.9,5.54,1.66,2.14,Medium,T5(40%) + DiD(60%),High,"UNCTAD – World Investment Report, Latvia Chapter, 2024",Digital Latvia 2023‑2027 Initiative,False
Costa Rica,FDI,negative,2024-2027,-12.0,4.73,-6.98,4.45,5.0,High,T5(70%) + DiD(30%),High,IMF Article IV Consultation 2023 – Costa Rica,FDI Incentive Review 2023,False
Costa Rica,Banking,negative,2024-2025,-10.0,1.32,-6.6,1.1,1.55,High,T5(70%) + DiD(30%),High,Banco Central de Costa Rica – Monetary Policy Statements 2023‑2024,Monetary Tightening Cycle 2023‑2024,False
Costa Rica,Manufacturing,positive,2024-2027,9.0,-1.92,2.45,-2.14,-1.71,Medium,T5(40%) + DiD(60%),High,World Bank Country Overview 2024 – Costa Rica,National Advanced Manufacturing Plan 2022‑2026,False
Costa Rica,Digital,positive,2024-2026,8.0,1.9,4.34,1.66,2.14,Medium,T5(40%) + DiD(60%),High,UNCTAD World Investment Report 2024 – Costa Rica Section,Broadband Expansion Initiative 2023‑2025,False
Kyrgyz Republic,Banking,negative,2024-2027,-12.0,1.32,-8.0,1.1,1.55,High,T5(70%) + DiD(30%),High,"National Bank of Kyrgyzstan, Monetary Policy Statement March 2024",Monetary Policy Tightening 2024,False
Kyrgyz Republic,FDI,negative,2024-2027,-9.0,4.73,-4.88,4.45,5.0,High,T5(70%) + DiD(30%),High,"IMF, Kyrgyz Republic Staff Report April 2023",FDI Inflow Decline 2023-24,False
Kyrgyz Republic,Manufacturing,positive,2024-2027,10.0,-1.92,2.85,-2.14,-1.71,Medium,T5(40%) + DiD(60%),High,"World Bank, Kyrgyz Republic Investment Climate Assessment 2023",Industrial Development Programme 2023-2026,False
Kyrgyz Republic,Digital,positive,2024-2027,8.0,1.9,4.34,1.66,2.14,Medium,T5(40%) + DiD(60%),High,"UNCTAD, World Investment Report 2024 – Kyrgyz Republic Chapter",National Broadband Expansion Initiative 2024,False
El Salvador,FDI,negative,2024-2027,-10.0,4.73,-5.58,4.45,5.0,High,T5(70%) + DiD(30%),High,UNCTAD World Investment Report 2023,Bitcoin Law Investment Climate,False
El Salvador,Banking,negative,2024-2027,-12.0,1.32,-8.0,1.1,1.55,High,T5(70%) + DiD(30%),High,IMF Article IV Consultation 2023,Credit Tightening and NPL Stress,False
Lebanon,FDI,negative,2024-2027,-20.0,4.73,-12.58,4.45,5.0,High,T5(70%) + DiD(30%),High,"IMF, Lebanon Article IV Consultation 2023",Capital Controls & Investment Freeze,False
Lebanon,Banking,negative,2024-2027,-22.0,1.32,-15.0,1.1,1.55,High,T5(70%) + DiD(30%),High,"Lebanese Central Bank press release, March 2024",Central Bank Rate Hike Cycle,False
Lebanon,Manufacturing,negative,2024-2027,-15.0,1.82,-4.91,1.57,2.08,Medium,T5(40%) + DiD(60%),High,"World Bank, Lebanon Country Overview 2024",Stagnant Industrial Policy,False
Lebanon,Digital,negative,2024-2027,-8.0,3.28,-1.23,2.84,3.73,Medium,T5(40%) + DiD(60%),High,"UNCTAD, World Investment Report 2024 – Lebanon",Limited Broadband Expansion,False
Morocco,Banking,negative,2024-2025,-12.0,1.32,-8.0,1.1,1.55,High,T5(70%) + DiD(30%),High,"IMF Article IV Consultation 2023 – Morocco, Monetary Policy Section",Monetary tightening cycle 2023-2024,False
Morocco,FDI,negative,2024-2027,-9.0,4.73,-4.88,4.45,5.0,High,T5(70%) + DiD(30%),High,UNCTAD World Investment Report 2024 – Morocco Chapter,FDI inflow slowdown and revised investment law,False
Morocco,Manufacturing,positive,2024-2026,8.0,-1.92,2.05,-2.14,-1.71,Medium,T5(40%) + DiD(60%),High,"Morocco Ministry of Industry press release, June 2023",Industrial Acceleration Plan (IAP) Phase II,False
Morocco,Digital,positive,2024-2027,10.0,1.9,5.14,1.66,2.14,Medium,T5(40%) + DiD(60%),High,"World Bank Country Overview – Morocco, Digital Infrastructure Section (2024)",National Digital Strategy 2023-2027,False
Nepal,Banking,negative,2024-2027,-12.0,1.32,-8.0,1.1,1.55,High,T5(70%) + DiD(30%),High,IMF Article IV Consultation 2023 – Nepal Staff Report,Repo Rate Hikes 2023-2024,False
Nepal,FDI,negative,2024-2025,-9.0,4.73,-4.88,4.45,5.0,High,T5(70%) + DiD(30%),High,World Bank Country Overview – Nepal (2024),FDI Inflow Decline 2023,False
Nepal,Manufacturing,negative,2024-2027,-8.0,1.82,-2.11,1.57,2.08,Medium,T5(40%) + DiD(60%),High,UNCTAD World Investment Report 2024 – Nepal Chapter,Industrial Policy Implementation Lag,False
Nepal,Digital,positive,2024-2027,10.0,1.9,5.14,1.66,2.14,Medium,T5(40%) + DiD(60%),High,"Ministry of Communication Nepal Press Release, Dec 2023",National Broadband Expansion Plan 2023,False
Israel,FDI,positive,2024-2027,5.0,-3.19,2.54,-3.38,-3.0,High,T5(70%) + DiD(30%),High,"IMF Article IV Consultation – Israel, 2023",UAE-Israel Bilateral Investment Treaty,False
Israel,Banking,negative,2024-2025,-10.0,1.32,-6.6,1.1,1.55,High,T5(70%) + DiD(30%),High,"Bank of Israel, Monetary Policy Statement, Dec 2023",Bank of Israel Rate Hike Cycle 2023‑2024,False
Israel,Manufacturing,negative,2024-2026,-4.0,1.82,-0.51,1.57,2.08,Medium,T5(40%) + DiD(60%),High,"World Bank Country Overview – Israel, 2024",National Industrial Strategy 2023‑2027,False
Israel,Digital,positive,2024-2027,12.0,1.9,8.97,1.66,2.14,High,T5(70%) + DiD(30%),High,"UNCTAD World Investment Report – Israel, 2024",Digital Israel 2025 Initiative,False
Norway,Banking,negative,2024-2025,-10.0,1.32,-6.6,1.1,1.55,High,T5(70%) + DiD(30%),High,"IMF Article IV Consultation 2023 – Norway, Chapter on Monetary Policy",Norges Bank rate tightening cycle 2023-2024,False
Norway,FDI,negative,2024-2027,-8.0,4.73,-4.18,4.45,5.0,High,T5(70%) + DiD(30%),High,World Bank Country Overview Norway 2024 – Investment Climate Assessment,Revised foreign investment screening framework 2023,False
Norway,Manufacturing,negative,2024-2026,-12.0,1.82,-3.71,1.57,2.08,Medium,T5(40%) + DiD(60%),High,UNCTAD World Investment Report 2024 – Norway Chapter,Industrial emissions levy increase 2024,False
Norway,Digital,positive,2024-2027,9.0,1.9,4.74,1.66,2.14,Medium,T5(40%) + DiD(60%),High,"Ministry of Trade and Industry press release, June 2023",National AI and Broadband Upgrade Programme 2023‑2027,False
Lithuania,Banking,negative,2024-2025,-12.0,1.32,-8.0,1.1,1.55,High,T5(70%) + DiD(30%),High,ECB press release 2023; Bank of Lithuania monetary policy report 2023 Q4,ECB rate hikes transmitted to Lituania,False
Lithuania,FDI,negative,2024-2027,-9.0,4.73,-4.88,4.45,5.0,High,T5(70%) + DiD(30%),High,"World Bank Country Overview Lithuania 2024, Investment Climate Assessment",Reduced EU‑Lithuania investment incentives,False
Lithuania,Manufacturing,negative,2024-2026,-10.0,1.82,-2.91,1.57,2.08,Medium,T5(40%) + DiD(60%),High,"IMF Article IV Consultation Lithuania 2023, paragraph 45",Supply‑chain disruption mitigation plan delayed,False
Lithuania,Digital,positive,2024-2027,14.0,1.9,10.37,1.66,2.14,High,T5(70%) + DiD(30%),High,"UNCTAD World Investment Report 2024, Lithuania chapter",National AI and Digital Infrastructure Strategy 2023‑2027,False
Bahrain,FDI,negative,2024-2027,-12.0,4.73,-6.98,4.45,5.0,High,T5(70%) + DiD(30%),High,IMF Article IV Consultation 2023 – Bahrain,FDI Incentive Package 2023,False
Bahrain,Banking,negative,2024-2025,-10.0,1.32,-6.6,1.1,1.55,High,T5(70%) + DiD(30%),High,Central Bank of Bahrain Monetary Policy Statements 2023‑2024,Central Bank Rate Hike Cycle 2023‑2024,False
Bahrain,Manufacturing,negative,2024-2026,-8.0,1.82,-2.11,1.57,2.08,Medium,T5(40%) + DiD(60%),High,World Bank Country Overview – Bahrain (2024),Industrial Strategy 2022‑2026 Implementation Delays,False
Bahrain,Digital,positive,2024-2027,15.0,1.9,11.07,1.66,2.14,High,T5(70%) + DiD(30%),High,UNCTAD World Investment Report 2024 – Bahrain Section,Bahrain Digital Economy Strategy 2023,False
Finland,FDI,negative,2024-2027,-5.0,4.73,-2.08,4.45,5.0,High,T5(70%) + DiD(30%),High,World Bank - Finland Investment Climate Assessment 2023,FDI Outlook 2023 Update,False
Finland,Banking,negative,2024-2025,-10.0,1.32,-6.6,1.1,1.55,High,T5(70%) + DiD(30%),High,"ECB Press Release, March 2023; ECB Monetary Policy Statement, February 2024",ECB Rate Hikes 2023‑2024,False
Finland,Manufacturing,positive,2024-2027,12.0,-1.92,7.82,-2.14,-1.71,High,T5(70%) + DiD(30%),High,Ministry of Economic Affairs - Industrial Strategy 2023‑2027 (policy document),Finland Industrial Strategy 2023‑2027,False
Finland,Digital,positive,2024-2027,12.0,1.9,8.97,1.66,2.14,High,T5(70%) + DiD(30%),High,Ministry of Transport and Communications - National Digital Strategy 2023,National Digital Strategy 2023,False
Tonga,Banking,negative,2024-2027,-12.0,1.32,-8.0,1.1,1.55,High,T5(70%) + DiD(30%),High,"IMF Article IV Consultation, Tonga 2023, Chapter on Monetary Policy",Monetary Policy Tightening 2023-2024,False
Tonga,FDI,negative,2024-2027,-10.0,4.73,-5.58,4.45,5.0,High,T5(70%) + DiD(30%),High,"World Bank Country Overview – Tonga, 2024",FDI Inflow Decline and Capital Controls Review,False
North Macedonia,FDI,negative,2024-2027,-12.0,4.73,-6.98,4.45,5.0,High,T5(70%) + DiD(30%),High,IMF Article IV Consultation 2023 – North Macedonia,FDI Incentive Law Amendment 2023,False
North Macedonia,Banking,negative,2024-2025,-10.0,1.32,-6.6,1.1,1.55,High,T5(70%) + DiD(30%),High,National Bank of North Macedonia – Monetary Policy Report Dec 2023,Monetary Policy Tightening Cycle 2023-2024,False
North Macedonia,Manufacturing,negative,2024-2027,-15.0,1.82,-4.91,1.57,2.08,Medium,T5(40%) + DiD(60%),High,World Bank – North Macedonia Country Overview 2024,Special Economic Zone Funding Freeze 2024,False
Eswatini,Banking,negative,2024-2027,-12.0,1.32,-8.0,1.1,1.55,High,T5(70%) + DiD(30%),High,IMF Article IV Consultation 2023 – Eswatini Staff Report,Repo Rate Hike 2023,False
Eswatini,FDI,negative,2024-2025,-10.0,4.73,-5.58,4.45,5.0,High,T5(70%) + DiD(30%),High,UNCTAD World Investment Report 2024 – Eswatini Chapter,FDI Inflow Decline 2023,False
Eswatini,Digital,positive,2024-2027,5.0,1.9,3.14,1.66,2.14,Medium,T5(40%) + DiD(60%),High,"Ministry of Communications Press Release, March 2024",National Broadband Expansion Plan 2024,False
Croatia,FDI,negative,2024-2027,-12.0,4.73,-6.98,4.45,5.0,High,T5(70%) + DiD(30%),High,"IMF Article IV Consultation – Croatia, 2023",FDI Incentive Package 2023,False
Croatia,Banking,negative,2024-2025,-15.0,1.32,-10.1,1.1,1.55,High,T5(70%) + DiD(30%),High,"Croatian National Bank press releases, 2023‑2024",HNB Rate Hike Cycle 2023‑2024,False
Croatia,Manufacturing,positive,2024-2027,10.0,-1.92,2.85,-2.14,-1.71,Medium,T5(40%) + DiD(60%),High,"Croatian Ministry of Economy – Programme Announcement, March 2024",Industrial Competitiveness Programme 2024,False
Croatia,Digital,positive,2024-2026,14.0,1.9,10.37,1.66,2.14,High,T5(70%) + DiD(30%),High,"World Bank – Croatia Country Overview, 2024",Digital Croatia 2025 Initiative,False
Iraq,FDI,negative,2024-2027,-12.0,4.73,-6.98,4.45,5.0,High,T5(70%) + DiD(30%),High,"IMF Article IV Consultation – Iraq, 2023",FDI Incentive Law (2023),False
Iraq,Banking,negative,2024-2025,-15.0,1.32,-10.1,1.1,1.55,High,T5(70%) + DiD(30%),High,"Central Bank of Iraq press release, March 2024",Monetary Tightening Cycle 2023-2024,False
Iraq,Manufacturing,negative,2024-2027,-10.0,1.82,-2.91,1.57,2.08,Medium,T5(40%) + DiD(60%),High,"World Bank – Iraq Country Overview, 2024",Industrial Zones Development Plan (2022‑2024),False
Iraq,Digital,negative,2024-2026,-8.0,3.28,-1.23,2.84,3.73,Medium,T5(40%) + DiD(60%),High,"UNCTAD World Investment Report – Iraq, 2024",National Broadband Strategy (draft 2023),False
Uzbekistan,FDI,negative,2024-2027,-12.0,4.73,-6.98,4.45,5.0,High,T5(70%) + DiD(30%),High,IMF Article IV Consultation 2023 – Uzbekistan,FDI Incentive Law 2023 (partial suspension),False
Uzbekistan,Banking,negative,2024-2025,-9.0,1.32,-5.9,1.1,1.55,High,T5(70%) + DiD(30%),High,CBU press releases 2023‑2024; World Bank Country Overview 2024,Central Bank Rate Hike Cycle 2023‑2024,False
Uzbekistan,Manufacturing,positive,2024-2027,14.0,-1.92,4.45,-2.14,-1.71,Medium,T5(40%) + DiD(60%),High,World Bank Investment Climate Assessment 2024 – Uzbekistan,Industrial Development Strategy 2023‑2027,False
Uzbekistan,Digital,positive,2024-2026,10.0,1.9,5.14,1.66,2.14,Medium,T5(40%) + DiD(60%),High,UNCTAD World Investment Report 2024 – Uzbekistan,National Broadband Expansion Program 2024‑2026,False
Sub-Saharan Africa,FDI,negative,2024-2027,-12.0,4.73,-6.98,4.45,5.0,High,T5(70%) + DiD(30%),High,"IMF, Article IV Consultation 2023 – Sub‑Saharan Africa Regional Overview",FDI Screening & Capital Controls,False
Sub-Saharan Africa,Banking,negative,2024-2025,-10.0,1.32,-6.6,1.1,1.55,High,T5(70%) + DiD(30%),High,"World Bank, Global Financial Development Report 2024 – Sub‑Saharan Africa Chapter",Monetary Tightening Cycle,False
Sub-Saharan Africa,Manufacturing,negative,2024-2026,-9.0,1.82,-2.51,1.57,2.08,Medium,T5(40%) + DiD(60%),High,"UNCTAD, World Investment Report 2024 – Sub‑Saharan Africa",Industrial Policy Delays,False
Sub-Saharan Africa,Digital,positive,2024-2027,8.0,1.9,4.34,1.66,2.14,Medium,T5(40%) + DiD(60%),High,"World Bank, Africa Digital Economy Outlook 2023",Continental Broadband Initiative,False
Mongolia,Banking,negative,2024-2025,-10.0,1.32,-6.6,1.1,1.55,High,T5(70%) + DiD(30%),High,"IMF Article IV Consultation – Mongolia, 2023",Monetary Tightening 2023-2024,False
Mongolia,FDI,negative,2024-2027,-12.0,4.73,-6.98,4.45,5.0,High,T5(70%) + DiD(30%),High,"World Bank Country Overview – Mongolia, 2024",Capital Flow Restrictions & Investment Review,False
Mongolia,Manufacturing,positive,2024-2027,9.0,-1.92,2.45,-2.14,-1.71,Medium,T5(40%) + DiD(60%),High,"UNCTAD World Investment Report – Mongolia, 2024",Industrial Development Strategy 2023‑2027,False
Mongolia,Digital,positive,2024-2027,8.0,1.9,4.34,1.66,2.14,Medium,T5(40%) + DiD(60%),High,"Ministry of Digital Development, Mongolia – Press Release, March 2024",National Broadband Expansion Plan 2023‑2026,False
Tuvalu,Digital,positive,2024-2027,10.0,1.9,7.57,1.66,2.14,High,T5(70%) + DiD(30%),High,"Tuvalu Ministry of Communications, Press Release March 2023",National Broadband Expansion Programme,False
Fiji,Banking,negative,2024-2027,-12.0,1.32,-8.0,1.1,1.55,High,T5(70%) + DiD(30%),High,"IMF Article IV Consultation – Fiji, 2023",Monetary Policy Tightening 2023-2024,False
Fiji,FDI,negative,2024-2025,-9.0,4.73,-4.88,4.45,5.0,High,T5(70%) + DiD(30%),High,"World Bank – Fiji Country Overview, 2024",FDI Inflow Decline and Capital Controls Review,False
Fiji,Manufacturing,positive,2024-2027,8.0,-1.92,2.05,-2.14,-1.71,Medium,T5(40%) + DiD(60%),High,"UNCTAD – World Investment Report 2024, Fiji",Fiji Manufacturing Development Strategy 2022‑2027,False
Fiji,Digital,positive,2024-2026,10.0,1.9,5.14,1.66,2.14,Medium,T5(40%) + DiD(60%),High,"Fiji Ministry of Finance – Press Release, Dec 2023",National Broadband Policy 2023,False
Greece,Banking,negative,2024-2027,-12.0,1.32,-8.0,1.1,1.55,High,T5(70%) + DiD(30%),High,"ECB Press Release, March 2024",ECB Rate Hikes 2023-2024,False
Greece,FDI,negative,2024-2025,-9.0,4.73,-0.76,4.45,5.0,Medium,T5(40%) + DiD(60%),High,"World Bank Country Overview – Greece, 2024",Reduced Investment Incentives,False
Greece,Manufacturing,negative,2024-2027,-8.0,1.82,-2.11,1.57,2.08,Medium,T5(40%) + DiD(60%),High,"Greek Ministry of Development Statement, Nov 2023",Supply‑Chain Disruption in Energy‑Intensive Sectors,False
Greece,Digital,positive,2024-2027,10.0,1.9,7.57,1.66,2.14,High,T5(70%) + DiD(30%),High,"UNCTAD World Investment Report – Greece, 2024",National Digital Strategy 2023‑2027,False
Panama,FDI,negative,2024-2027,-12.0,4.73,-6.98,4.45,5.0,High,T5(70%) + DiD(30%),High,World Bank - Panama Investment Climate Assessment 2023,FDI Incentive Review 2023,False
Panama,Banking,negative,2024-2025,-10.0,1.32,-6.6,1.1,1.55,High,T5(70%) + DiD(30%),High,IMF - Article IV Consultation Panama 2024,Credit Tightening Guidance 2024,False
Panama,Manufacturing,positive,2024-2027,9.0,-1.92,5.72,-2.14,-1.71,High,T5(70%) + DiD(30%),High,"UNCTAD - World Investment Report 2024, Panama Chapter",Colon Free Zone Expansion 2023-2024,False
Panama,Digital,positive,2024-2026,8.0,1.9,4.34,1.66,2.14,Medium,T5(40%) + DiD(60%),High,Panama Ministry of Public Works - National Broadband Plan 2023,National Broadband Plan 2023,False
Trinidad and Tobago,Banking,negative,2024-2027,-12.0,1.32,-8.0,1.1,1.55,High,T5(70%) + DiD(30%),High,IMF Article IV Consultation 2023 – Trinidad and Tobago Staff Report,Monetary Policy Tightening 2023-2024,False
Trinidad and Tobago,FDI,negative,2024-2025,-10.0,4.73,-5.58,4.45,5.0,High,T5(70%) + DiD(30%),High,World Bank Country Overview – Trinidad and Tobago (2024),FDI Inflow Decline and Capital Controls Review,False
Trinidad and Tobago,Manufacturing,negative,2024-2027,-8.0,1.82,-2.11,1.57,2.08,Medium,T5(40%) + DiD(60%),High,"Ministry of Trade and Industry press release, July 2023",Industrial Development Programme 2023,False
Trinidad and Tobago,Digital,positive,2024-2027,9.0,1.9,6.87,1.66,2.14,High,T5(70%) + DiD(30%),High,UNCTAD World Investment Report 2024 – Trinidad and Tobago Chapter,National Broadband Infrastructure Plan 2023,False
Oman,FDI,negative,2024-2027,-10.0,4.73,-5.58,4.45,5.0,High,T5(70%) + DiD(30%),High,"UNCTAD, World Investment Report 2023 – Oman chapter",FDI Inflow Decline 2023,False
Oman,Banking,positive,2024-2025,8.0,-0.99,5.3,-1.16,-0.83,High,T5(70%) + DiD(30%),High,"Central Bank of Oman, Monetary Policy Statement March 2024",CBO Rate Cut March 2024,False
Oman,Manufacturing,positive,2024-2027,5.0,-1.92,0.85,-2.14,-1.71,Medium,T5(40%) + DiD(60%),High,"IMF, Article IV Consultation Oman 2024",Industrial Development Zones Initiative,False
Oman,Digital,positive,2024-2027,8.0,1.9,6.17,1.66,2.14,High,T5(70%) + DiD(30%),High,"World Bank, Oman Country Overview & Investment Climate Assessment 2024",National Digital Strategy 2023,False
"Taiwan, China",FDI,negative,2024-2027,-12.0,4.73,-6.98,4.45,5.0,High,T5(70%) + DiD(30%),High,World Bank – Taiwan Investment Climate Assessment 2024,Investment Promotion Act Amendments 2023,False
"Taiwan, China",Banking,positive,2024-2025,9.0,-0.99,6.0,-1.16,-0.83,High,T5(70%) + DiD(30%),High,IMF Article IV Consultation – Taiwan 2024,Central Bank Rate Cut Cycle 2023-2024,False
"Taiwan, China",Manufacturing,positive,2024-2027,14.0,-1.92,4.45,-2.14,-1.71,Medium,T5(40%) + DiD(60%),High,UNCTAD World Investment Report 2024 – Taiwan Chapter,5+2 Industrial Innovation Plan,False
"Taiwan, China",Digital,positive,2024-2027,18.0,1.9,13.17,1.66,2.14,High,T5(70%) + DiD(30%),High,Ministry of Economic Affairs – Press Release 2024,National AI & Semiconductor Strategy 2024,False
Barbados,Banking,negative,2024-2027,-12.0,1.32,-8.0,1.1,1.55,High,T5(70%) + DiD(30%),High,IMF Article IV Consultation 2023 – Barbados Staff Report,Monetary Policy Tightening 2023-2024,False
Barbados,FDI,negative,2024-2025,-10.0,4.73,-5.58,4.45,5.0,High,T5(70%) + DiD(30%),High,World Bank Country Overview – Barbados (2024),Investment Promotion Act Amendments 2023,False
Barbados,Digital,positive,2024-2027,9.0,1.9,4.74,1.66,2.14,Medium,T5(40%) + DiD(60%),High,UNCTAD World Investment Report 2024 – Barbados Chapter,Barbados Digital Economy Strategy 2023,False
Ukraine,FDI,negative,2024-2027,-12.0,4.73,-6.98,4.45,5.0,High,T5(70%) + DiD(30%),High,IMF Article IV Consultation 2023 – Ukraine,FDI Incentive Suspension,False
Ukraine,Banking,negative,2024-2025,-15.0,1.32,-10.1,1.1,1.55,High,T5(70%) + DiD(30%),High,"NBU Monetary Policy Statement, Dec 2023",Monetary Tightening Cycle,False
Ukraine,Manufacturing,negative,2024-2027,-10.0,1.82,-2.91,1.57,2.08,Medium,T5(40%) + DiD(60%),High,"World Bank Country Overview – Ukraine, 2024",Industrial Development Strategy 2022‑2027 – War Adjustments,False
Ukraine,Digital,positive,2024-2026,8.0,1.9,4.34,1.66,2.14,Medium,T5(40%) + DiD(60%),High,UNCTAD World Investment Report 2024 – Ukraine,Digital Ukraine 2023‑2027 Roadmap,False
Vanuatu,Banking,negative,2024-2027,-12.0,1.32,-8.0,1.1,1.55,High,T5(70%) + DiD(30%),High,"IMF Article IV Consultation – Vanuatu, 2023",Monetary Policy Tightening 2023-2024,False
Vanuatu,FDI,negative,2024-2027,-10.0,4.73,-5.58,4.45,5.0,High,T5(70%) + DiD(30%),High,"World Bank – Vanuatu Country Overview, 2024",FDI Inflow Decline and Capital Controls,False
Vanuatu,Manufacturing,negative,2024-2025,-8.0,1.82,-2.11,1.57,2.08,Medium,T5(40%) + DiD(60%),High,"UNCTAD – World Investment Report, Vanuatu Chapter, 2024",Limited Industrial Incentives,False
Vanuatu,Digital,negative,2024-2027,-5.0,3.28,-0.03,2.84,3.73,Medium,T5(40%) + DiD(60%),High,"World Bank – Vanuatu Investment Climate Assessment, 2024",Broadband Infrastructure Lag,False
